==============================================================================
 diffBloch refinement report -- colmey-et-al-2026-quartz-absorption
==============================================================================
 structure   : experimental_paper_files/enantiomer_1.cif
 exp_data    : quartz.cif_pets
 generated   : 2026-08-23T17:27:31+00:00
 elapsed     : 141.5 s (2.36 min)

--- Simulation / refinement parameters ----------------------------------------
Parameter                                   Value               
------------------------------------------  --------------------
Integration semiangle (deg)                 1                   
Rocking-curve sampling                      42                  
D_sg                                        0.0015              
R_sg                                        0.9                 
g_max (solve cutoff, A^-1)                  2                   
structure-factor support (2 x g_max, A^-1)  4                   
sg_max (A^-1)                               0.01                
Absorption (T/F)                            T                   
Mosaicity (T/F)                             F                   
Seed thickness (A)                          quartz.cif_pets: 850
Epochs (configured)                         40                  
Best epoch                                  35                  
Optimizer                                   adam                
Learning rate                               0.001               
R_obs (%)                                   4.73 [99/99]        
wR2 (%)                                     3.75 [99/99]        
HKLs (Observed/total)                       1008 / 2523         

--- Crystallographic parameters -----------------------------------------------
Parameter                 Value                 
------------------------  ----------------------
Space group               P3221 (#154)          
a, b, c (A)               4.9226, 4.9226, 5.4003
alpha, beta, gamma (deg)  90.00, 90.00, 120.00  
Volume (A^3)              113.3                 
N atoms (ASU)             2                     

--- Objective terms (declared) ------------------------------------------------
 penalties  : none
 constraints: none
 components : apparent_thickness[quartz.cif_pets]

--- Objective components (best epoch) -----------------------------------------
Component    Raw      Weight  Contribution
-----------  -------  ------  ------------
diffraction  3.71132  1       3.71132     

 objective total = 3.71132
 (terms not composed into the objective have no row)

--- Per-rotation wR2 / R_obs (final refined model) ----------------------------
Rotation  wR2       R_obs     N matched
--------  --------  --------  ---------
58        8.9940           857.18       
59        9.9650           857.79       
60        11.0030          858.50       
61        12.1230          859.35       
62        13.1130          860.16       
63        13.9520          860.89       
64        15.0070          861.87       
65        15.9620          862.82       
66        16.9320          863.84       
67        17.9310          864.95       
68        18.9860          866.19       
69        19.9820          867.41       
70        20.8590          868.54       
71        21.9440          870.00       
72        22.9760          871.44       
73        23.9860          872.92       
74        25.0000          874.45       
75        25.9590          875.95       
76        26.9910          877.62       
77        27.9750          879.27       
78        28.9130          880.88       
79        29.9250          882.66       
80        30.9930          884.60       
81        32.0020          886.48       
82        32.9780          888.34       
83        33.9660          890.27       
84        34.9710          892.26       
85        35.9950          894.34       
86        37.0510          896.53       
87        38.0740          898.68       
88        38.9750          900.61       
89        39.9190          902.66       
90        40.9620          904.95       
91        41.9600          907.18       
92        42.9360          909.39       
93        43.9560          911.72       
94        44.9920          914.11       
95        46.0370          916.55       
96        46.9860          918.79       
97        47.9950          921.18       
98        49.0790          923.77       

 plot: thickness_nn_shape_quartz.png

--- Isotropic mosaicity -------------------------------------------------------
 enabled: no (refinement.trainable.mosaicity_sigma is off)

--- Refined structure -- atom_site --------------------------------------------
_atom_site_label  _atom_site_type_symbol  _atom_site_fract_x  _atom_site_fract_y  _atom_site_fract_z  _atom_site_U_iso_or_equiv  _atom_site_thermal_displace_type
----------------  ----------------------  ------------------  ------------------  ------------------  -------------------------  --------------------------------
Si1               Si                      1                   0.4712411574        0.833333            0.009208                   Uani                            
O1                O                       0.8546882517        0.5856634383        0.6189682038        0.015829                   Uani                            

_atom_site_aniso_label  _atom_site_aniso_U_11  _atom_site_aniso_U_22  _atom_site_aniso_U_33  _atom_site_aniso_U_23  _atom_site_aniso_U_13  _atom_site_aniso_U_12
----------------------  ---------------------  ---------------------  ---------------------  ---------------------  ---------------------  ---------------------
Si1                     0.009582664688         0.01068862365          0.006235843641         -0.0004704052419       -0.0009408104837       0.004791332344       
O1                      0.01157858513          0.02080853176          0.01569110299          0.003436192481         -0.002950431331        0.008622355842       
