,Rotation Index,Orientation Matrix,wR2,alpha,beta,omega
0,54,"[[-0.29276390013739434, -0.07866169859416922, 0.9634972185237957], [0.8074042003765672, 0.5343206340469957, 0.290760820417347], [-0.5327964977378491, 0.8551372427312144, -0.09162319150086187]]",0.06558806449174881,0.003323711714463307,-0.030655371897505147,0.04676567255551267
1,95,"[[-0.29772960042422736, -0.08915107742331498, 0.9610678872270784], [0.9583043989906233, -0.15404066536642758, 0.28364433892504953], [0.12039254422043283, 0.9955973683365933, 0.1311985367030649]]",0.05688318982720375,7.241527730054816e-05,0.0006869028298125509,0.00014758783766925747
2,33,"[[-0.3000797596174792, -0.09770563039965445, 0.9595002287096157], [0.5507017439900602, 0.8082021302639796, 0.25639124604310315], [-0.7925718023928322, 0.6001069063100356, -0.18697846211112265]]",0.06398344784975052,0.001515276148716185,-0.0016011576296218616,-0.0001244503341387371
3,35,"[[-0.288079831464272, -0.08222088502540251, 0.9646173268807008], [0.5885646444348269, 0.7848281534015529, 0.24452965949665548], [-0.7694860135770788, 0.6326165750274102, -0.17602891995751008]]",0.04901759326457977,0.0,0.0,0.0
4,9,"[[-0.28441724782821437, -0.07711715608374366, 0.9661263100192278], [0.1788902218017616, 0.9864695670069098, 0.13301124078752696], [-0.9532310260223943, 0.20938003444757763, -0.26485513611958705]]",0.09331557154655457,0.017510479126026872,2.9771309790822223e-05,0.01089231772562075
5,5,"[[-0.29361872426123564, -0.0861096544551098, 0.9626045241794272], [0.12146596452997804, 0.9959269491653427, 0.12768205613164482], [-0.9594444460553324, 0.15368435469864924, -0.2799639493048744]]",0.05585981905460358,8.777234997986986e-06,-3.829191886984416e-06,4.4830914514672716e-06
6,13,"[[-0.29204889391579614, -0.0817047272270822, 0.9634654455613778], [0.2518180097868981, 0.9662918342192933, 0.15994247380292703], [-0.9342346187822123, 0.28727089266321426, -0.2596675306705634]]",0.04754537716507912,0.43008107784758187,-0.1308729042262905,0.11825841076881932
7,2,"[[-0.2933786351572022, -0.08553787821847154, 0.9627317120873298], [0.06108455194255278, 1.0036619026455327, 0.1092698492439033], [-0.9652505419041151, 0.09076477105716625, -0.287225384526304]]",0.044156163930892944,-0.02701931131909384,0.002413256534638745,-0.008294872133064266
8,64,"[[-0.3036926452767994, -0.09342101372621622, 0.9587869533538416], [0.8825474992887391, 0.3767934187234966, 0.3179603189385637], [-0.3877525867317731, 0.9339095763255795, -0.031038421656864053]]",0.04013560339808464,0.09448877755819604,0.15526619720868862,-0.062744734124417
9,58,"[[-0.29281084661042345, -0.08813019438413629, 0.9626586895039426], [0.8423218693953396, 0.47093279929370013, 0.30109030610461873], [-0.47563462694497394, 0.890726961181734, -0.06256927300919433]]",0.124277763068676,1.3987223307291668e-06,-8.943345811631947e-06,4.280938042534722e-06
10,59,"[[-0.28481095373757753, -0.08321607998096389, 0.9654995988528537], [0.8515297461179843, 0.45960850496035116, 0.29256095063240234], [-0.46399990171674244, 0.8970828333295047, -0.058939181918833204]]",0.09575486183166504,-0.028883122752206922,0.08276018374315952,-0.04981310705075233
11,34,"[[-0.31435204414231266, -0.12201235813903016, 0.952121161913452], [0.5554434107471545, 0.7945083831788283, 0.2870820078014298], [-0.7836584231949439, 0.6137264233439084, -0.18026980591388667]]",0.0670371726155281,0.003252172657918523,-0.004617315989961139,0.0018985878180403713
12,8,"[[-0.29145208677344675, -0.08966237448882902, 0.9629410670722383], [0.1753607001924103, 0.9852127599341016, 0.14641582748254875], [-0.9517420787582737, 0.21024945816593174, -0.26945070532935705]]",0.12380340695381165,0.14291123144333523,-0.01641748882207803,-0.1162202513749767
13,68,"[[-0.3502432728621393, -0.10660569474605458, 0.9413815450590376], [0.8909520524189551, 0.30495163292199395, 0.36769327946324776], [-0.32380932548505925, 0.9583819453738293, -0.01102889959186915]]",0.07647030800580978,-0.39393860774288786,1.0546937792911906,0.13238786376498307
14,10,"[[-0.29344647057207723, -0.08818723315627466, 0.9624709213057044], [0.20991942847598863, 0.9770630009972565, 0.15515334781894125], [-0.9440895014410463, 0.2459271357506647, -0.2662324935919484]]",0.04925006628036499,0.0,0.0,0.0
15,38,"[[-0.2757505649522642, -0.06610882627519982, 0.9694467394329737], [0.6368746709830602, 0.7494574003840694, 0.23411580159201914], [-0.7347631394477645, 0.6759589079237599, -0.16295648120492204]]",0.06649606674909592,0.0,0.0,0.0
